F (HZ),G (dB),P (°)
100.0000,17.6,177.8
107.1519,17.7,177.0
114.8154,17.6,178.0
123.0269,17.8,176.2
131.8257,17.7,177.3
141.2538,17.6,177.4
151.3561,17.8,177.0
162.1810,17.8,176.4
173.7801,17.7,175.7
186.2087,17.7,175.7
199.5262,17.7,175.4
213.7962,17.8,175.2
229.0868,17.9,174.9
245.4709,17.8,175.0
263.0268,17.8,174.6
281.8383,17.8,174.0
301.9952,17.9,173.4
323.5937,17.9,173.1
346.7369,18.0,174.0
371.5352,18.0,171.9
398.1072,17.9,171.8
426.5795,18.0,170.8
457.0882,18.0,170.5
489.7788,18.1,168.9
524.8075,18.1,168.7
562.3413,18.1,167.9
602.5596,18.3,166.7
645.6542,18.3,166.0
691.8310,18.4,164.9
741.3102,18.5,162.7
794.3282,18.6,161.2
851.1380,18.7,159.9
912.0108,18.7,157.7
977.2372,19.1,154.6
1047.1285,19.1,152.2
1122.0185,19.1,148.4
1202.2644,19.5,144.7
1288.2496,19.3,141.7
1380.3843,20.1,136.8
1479.1084,19.7,130.9
1584.8932,19.8,123.4
1698.2437,19.3,115.5
1819.7009,19.0,108.5
1949.8446,18.7,103.4
2089.2961,17.8,94.4
2238.7211,16.8,85.6
2398.8329,15.8,80.7
2570.3958,14.5,76.7
2754.2287,13.6,71.3
2951.2092,12.5,67.7
3162.2777,11.5,64.9
3388.4416,10.2,63.1
3630.7805,9.1,60.4
3890.4514,8.1,59.0
4168.6938,7.0,57.0
4466.8359,6.0,55.7
4786.3009,5.1,54.9
5128.6138,4.2,53.7
5495.4087,3.3,52.8
5888.4366,2.4,51.7
6309.5734,1.6,50.7
6760.8298,0.7,49.6
7244.3596,-0.2,48.6
7762.4712,-1.0,47.6
8317.6377,-1.8,46.4
8912.5094,-2.6,45.1
9549.9259,-3.4,43.7
10232.9299,-4.2,42.1
10964.7820,-5.0,40.6
11748.9755,-5.7,38.7
12589.2541,-6.5,36.8
13489.6288,-7.3,34.9
14454.3977,-8.0,32.7
15488.1662,-8.8,30.1
16595.8691,-9.6,27.6
17782.7941,-10.3,24.6
19054.6072,-11.0,21.4
20417.3794,-11.8,18.7
21877.6162,-12.6,15.2
23442.2882,-13.3,11.7
25118.8643,-14.1,7.4
26915.3480,-14.8,3.1
28840.3150,-15.6,-1.2
30902.9543,-16.4,-6.2
33113.1121,-17.1,-11.1
35481.3389,-17.9,-17.2
38018.9396,-18.7,-22.4
40738.0278,-19.3,-29.7
43651.5832,-20.3,-36.1
46773.5141,-20.7,-45.5
50118.7234,-21.5,-51.2
53703.1796,-22.6,-60.0
57543.9937,-23.2,-69.9
61659.5002,-24.4,-79.3
66069.3448,-25.0,-90.7
70794.5784,-25.6,-100.4
75857.7575,-26.6,-114.7
81283.0516,-27.5,-122.7
87096.3590,-28.5,-140.2
93325.4301,-29.6,-156.8
100000.0000,-30.1,-169.3
