freq                    ,Gain                    ,Phase                   
100,19.05661709,-0.295579074
102.3292992,19.05777921,-0.302635231
104.7128548,19.05899622,-0.309868039
107.1519305,19.06027072,-0.317282497
109.6478196,19.06160543,-0.324883785
112.2018454,19.06300321,-0.332677273
114.8153621,19.06446704,-0.340668528
117.4897555,19.06600005,-0.348863326
120.2264435,19.06760553,-0.357267663
123.0268771,19.0692869,-0.365887766
125.8925412,19.07104777,-0.374730104
128.8249552,19.07289191,-0.3838014
131.8256739,19.07482327,-0.393108649
134.8962883,19.07684599,-0.402659127
138.0384265,19.07896441,-0.41246041
141.2537545,19.08118308,-0.42252039
144.5439771,19.08350675,-0.432847292
147.9108388,19.08594043,-0.443449692
151.3561248,19.08848934,-0.454336539
154.8816619,19.09115896,-0.465517175
158.4893192,19.09395505,-0.477001358
162.1810097,19.09688362,-0.488799287
165.9586907,19.09995098,-0.500921629
169.8243652,19.10316376,-0.513379543
173.7800829,19.10652889,-0.526184715
177.827941,19.11005364,-0.539349386
181.9700859,19.11374563,-0.552886391
186.2087137,19.11761286,-0.566809189
190.5460718,19.1216637,-0.581131909
194.98446,19.12590693,-0.595869386
199.5262315,19.13035177,-0.611037215
204.1737945,19.13500787,-0.626651788
208.9296131,19.13988538,-0.642730357
213.796209,19.1449949,-0.659291083
218.7761624,19.15034759,-0.6763531
223.8721139,19.15595514,-0.693936576
229.0867653,19.16182981,-0.712062787
234.4228815,19.16798446,-0.730754189
239.8832919,19.17443259,-0.750034499
245.4708916,19.18118837,-0.76992878
251.1886432,19.18826666,-0.790463541
257.0395783,19.19568306,-0.811666827
263.0267992,19.20345395,-0.833568339
269.1534804,19.21159651,-0.856199542
275.4228703,19.2201288,-0.879593798
281.8382931,19.22906977,-0.903786496
288.4031503,19.23843931,-0.928815208
295.1209227,19.24825833,-0.95471984
301.995172,19.25854878,-0.98154281
309.0295433,19.26933373,-1.009329236
316.227766,19.28063742,-1.038127131
323.5936569,19.29248531,-1.067987632
331.1311215,19.30490418,-1.098965231
338.8441561,19.31792217,-1.131118036
346.7368505,19.33156888,-1.16450805
354.8133892,19.34587542,-1.199201481
363.0780548,19.36087454,-1.235269066
371.5352291,19.37660068,-1.272786437
380.1893963,19.39309007,-1.311834513
389.045145,19.41038087,-1.352499931
398.1071706,19.42851324,-1.394875508
407.3802778,19.44752947,-1.439060761
416.8693835,19.46747412,-1.485162456
426.5795188,19.48839411,-1.53329523
436.5158322,19.51033892,-1.583582251
446.6835922,19.53336069,-1.636155961
457.0881896,19.55751442,-1.691158876
467.7351413,19.58285811,-1.748744477
478.6300923,19.60945298,-1.809078183
489.7788194,19.63736364,-1.872338426
501.1872336,19.66665831,-1.938717833
512.861384,19.69740906,-2.008424539
524.8074602,19.72969205,-2.081683631
537.0317964,19.76358777,-2.158738751
549.5408739,19.79918138,-2.239853871
562.3413252,19.83656296,-2.325315271
575.4399373,19.87582783,-2.415433728
588.8436554,19.91707698,-2.510546963
602.5595861,19.96041737,-2.611022374
616.5950019,20.00596237,-2.717260081
630.9573445,20.0538322,-2.829696344
645.654229,20.10415444,-2.948807396
660.693448,20.15706447,-3.075113748
676.0829754,20.2127061,-3.209185046
691.8309709,20.27123213,-3.351645537
707.9457844,20.33280499,-3.503180269
724.4359601,20.39759749,-3.664542104
741.3102413,20.46579349,-3.836559689
758.577575,20.53758878,-4.020146534
776.2471166,20.6131919,-4.216311366
794.3282347,20.69282508,-4.426169979
812.8305162,20.77672524,-4.650958825
831.7637711,20.86514504,-4.892050637
851.1380382,20.95835398,-5.15097245
870.96359,21.05663957,-5.429426424
891.2509381,21.16030853,-5.729313985
912.0108394,21.26968802,-6.052763894
933.2543008,21.38512686,-6.402164947
954.992586,21.50699672,-6.780204218
977.237221,21.6356932,-7.18991186
1000,21.77163666,-7.634713777
1023.292992,21.91527287,-8.118493658
1047.128548,22.06707306,-8.645666255
1071.519305,22.22753326,-9.221264086
1096.478196,22.39717267,-9.851040214
1122.018454,22.57653034,-10.54159022
1148.153621,22.76615977,-11.30049695
1174.897555,22.96662033,-12.13650229
1202.264435,23.17846422,-13.05971027
1230.268771,23.4022172,-14.08182636
